data_hora;hora_inicio;hora_fim;partida;evento;nacional_x_nacional;transimissores;globo_transmitiu;soh_concorrentes_transimitiram
03/05/2023 19:00;19:00;21:00:00;Cerro Porte�o (PAR) x Bol�var (BOL);Libertadores;0;ESPN, Star+;0;1
03/05/2023 19:00;19:00;21:00:00;Internacional x Nacional (URU);Libertadores;0;Paramount+;0;1
03/05/2023 23:00;23:00;01:00:00;Independiente Medell�n (COL) x Metropolitanos (VEN);Libertadores;0;Paramount+;0;1
04/05/2023 19:00;19:00;21:00:00;Racing (ARG) x Flamengo;Libertadores;0;ESPN, Star+;0;1
04/05/2023 21:00;21:00;23:00:00;Libertad (PAR) x Athletico-PR;Libertadores;0;ESPN, Star+;0;1
23/05/2023 21:00;21:00;23:00:00;Aucas (EQU) x Racing (ARG);Libertadores;0;ESPN, Star+;0;1
23/05/2023 21:00;21:00;23:00:00;Independiente Medell�n (COL) x Nacional (URU);Libertadores;0;Paramount+;0;1
23/05/2023 23:00;23:00;01:00:00;Alianza Lima (PER) x Libertad (PAR);Libertadores;0;Paramount+;0;1
24/05/2023 19:00;19:00;21:00:00;Liverpool (URU) x Independiente del Valle (EQU);Libertadores;0;ESPN, Star+;0;1
25/05/2023 19:00;19:00;21:00:00;The Strongest (BOL) x Fluminense;Libertadores;0;ESPN, Star+;0;1
25/05/2023 21:00;21:00;23:00:00;Sporting Cristal (PER) x River Plate (ARG);Libertadores;0;Paramount+;0;1
25/05/2023 21:00;21:00;23:00:00;Metropolitanos (VEN) x Internacional;Libertadores;0;Paramount+;0;1
25/05/2023 21:00;21:00;23:00:00;Cerro Porte�o (PAR) x Palmeiras;Libertadores;0;ESPN, Star+;0;1
06/06/2023 19:00;19:00;21:00:00;Athletico-PR x Libertad (PAR);Libertadores;0;ESPN, Star+;0;1
06/06/2023 19:00;19:00;21:00:00;Argentinos Juniors (ARG) x Liverpool (URU);Libertadores;0;ESPN, Star+;0;1
06/06/2023 21:00;21:00;23:00:00;Alianza Lima (PER) x Atl�tico-MG;Libertadores;0;ESPN, Star+;0;1
06/06/2023 23:00;23:00;01:00:00;Bol�var (BOL) x Cerro Porte�o (PAR);Libertadores;0;ESPN, Star+;0;1
07/06/2023 19:00;19:00;21:00:00;Nacional (URU) x Internacional;Libertadores;0;Paramount+;0;1
07/06/2023 21:00;21:00;23:00:00;Aucas (EQU) x �ublense (CHI);Libertadores;0;Paramount+;0;1
07/06/2023 23:00;23:00;01:00:00;The Strongest (BOL) x Sporting Cristal (PER);Libertadores;0;Paramount+;0;1
08/06/2023 19:00;19:00;21:00:00;Metropolitanos (VEN) x Independiente Medell�n (COL);Libertadores;0;ESPN, Star+;0;1
08/06/2023 19:00;19:00;21:00:00;Independiente del Valle (EQU) x Corinthians;Libertadores;0;Paramount+;0;1
27/06/2023 19:00;19:00;21:00:00;Athletico-PR x Alianza Lima (PER);Libertadores;0;ESPN, Star+;0;1
27/06/2023 19:00;19:00;21:00:00;Libertad (PAR) x Atl�tico-MG;Libertadores;0;ESPN, Star+;0;1
27/06/2023 21:00;21:00;23:00:00;Fluminense x Sporting Cristal (PER);Libertadores;0;Paramount+;0;1
27/06/2023 21:00;21:00;23:00:00;River Plate (ARG) x The Strongest (BOL);Libertadores;0;ESPN, Star+;0;1
28/06/2023 19:00;19:00;21:00:00;Internacional x Independiente Medell�n (COL);Libertadores;0;Paramount+;0;1
28/06/2023 19:00;19:00;21:00:00;Nacional (URU) x Metropolitanos (VEN);Libertadores;0;ESPN, Star+;0;1
28/06/2023 21:30;21:30;23:30:00;Racing (ARG) x �ublense (CHI);Libertadores;0;Paramount+;0;1
28/07/2023 21:30;21:30;23:30:00;Independiente del Valle (EQU) x Argentinos Juniors (ARG);Libertadores;0;Paramount+;0;1
22/08/2023 19:00;19:00;21:00:00;Bol�var x Internacional;Libertadores;0;ESPN, Star+;0;1
23/08/2023 21:30;21:30;23:30:00;Boca Juniors x Racing;Libertadores;0;ESPN, Star+;0;1
29/08/2023 19:00;19:00;21:00:00;Internacional x Bol�var;Libertadores;0;ESPN, Star+;0;1
30/08/2023 21:30;21:30;23:30:00;Racing x Boca Juniors;Libertadores;0;ESPN, Star+;0;1
02/04/2024 19:00;19:00;21:00:00;Cobresal 0 x 1 Barcelona-EQU;Libertadores;0;Paramount+;0;1
02/04/2024 19:00;19:00;21:00:00;Millonarios 1 x 1 Flamengo;Libertadores;0;ESPN, Star+;0;1
02/04/2024 19:00;19:00;21:00:00;Liverpool-URU 1 x 1 Independiente Del Valle;Libertadores;0;Paramount+;0;1
02/04/2024 21:00;21:00;23:00:00;The Strongest 1 x 2 Gr�mio;Libertadores;0;Paramount+;0;1
02/04/2024 21:00;21:00;23:00:00;Deportivo T�chira 0 x 1 River Plate;Libertadores;0;Paramount+;0;1
02/04/2024 23:00;23:00;01:00:00;Universitario 1 x 1 LDU;Libertadores;0;ESPN, Star+;0;1
03/04/2024 19:00;19:00;21:00:00;Huachipato 0 x 1 Estudiantes;Libertadores;0;Paramount+;0;1
03/04/2024 19:00;19:00;21:00:00;Nacional-URU 1 x 1 Libertad;Libertadores;0;Paramount+;0;1
